µØ¿éÃû,»Æ¶¹,ºÚ¶¹,ºì¶¹,ÂÌ¶¹,ÅÀ¶¹,Ð¡Âó,ÓñÃ×,¹È×Ó,¸ßÁ»,Êò×Ó,ÜñÂó,ÄÏ¹Ï,ºìÊí,Ý¯Âó,´óÂó,Ë®µ¾,ôø¶¹,µ¶¶¹,Ü¿¶¹,ÍÁ¶¹,Î÷ºìÊÁ,ÇÑ×Ó,²¤²Ë ,Çà½·,²Ë»¨,°ü²Ë,ÓÍÂó²Ë,Ð¡Çà²Ë,»Æ¹Ï,Éú²Ë ,À±½·,¿ÕÐÄ²Ë,»ÆÐÄ²Ë,ÇÛ²Ë,´ó°×²Ë,°×ÂÜ²·,ºìÂÜ²·,ÓÜ»Æ¹½,Ïã¹½,°×Áé¹½,Ñò¶Ç¾ú
A1,,,,,,1.8,0.33088235,,,,,,,,,0.99264706,,0.95853659,1.0342541,30.0,,,,,1.16,2.2119813,,,,,,1.1,0.12,0.25,,9.0909091,,,,4.5,
A2,,,,,,,,,,,,,,,,0.99264706,,,1.0342541,17.1964,,,,,,,,,,,,,0.12,0.25,,9.0909091,,,,,
A3,,,,,,,,,,,,,,,,0.99264706,,,,,,,,,,,,,,,,,0.12,,,9.0909091,,,,,
A4,,,,,,,,,,,,,,,,0.99264706,,,1.0342541,30.0,,,,,,,,,,,,,0.12,0.25,,9.0909091,,,,4.1964002,
A5,,,,,,,,,,,,,,,,0.99264706,,,1.0342541,30.0,,,,,,,,,,,,,0.12,0.25,,9.0909091,,,,0.19640023,
A6,,,,,,,,,,,,,,,,0.99264706,,,1.0342541,17.1964,,,,,,,,,,,,,0.12,0.25,,9.0909091,,,,,
B1,,,,,,,,,,,,,,,,0.99264706,,,1.0342541,22.1964,,,,,,,,,,,,,0.12,0.25,,9.0909091,,,,,
B2,,,,,,,,,,,,,,,,0.99264706,,,1.0342541,8.1964002,,,,,,,,,,,,,0.12,0.25,,9.0909091,,,,,
B3,,,,,,,,,,,,,,,,0.99264706,,,1.0342541,2.1964002,,,,,,,,,,,,,0.12,0.25,,9.0909091,,,,,
B4,,,,,,,,,,,,,,,,0.99264706,,,,,,,,,,,,,,,,,0.12,,,9.0909091,,,,,
B5,,,,,,,,,,,,,,,,0.99264706,,,,,,,,,,,,,,,,,0.12,,,9.0909091,,,,,
B6,,,,,,1.8,0.33088235,,,,,,,,,0.99264706,,0.95853659,1.0342541,30.0,,,,,1.16,8.2119813,,,,,,1.1,0.12,0.25,,9.0909091,,,,4.5,
B7,,,,,,,,,,,,,,,,0.99264706,,,1.0342541,17.1964,,,,,,,,,,,,,0.12,0.25,,9.0909091,,,,,
B8,,,,,,,,,,,,,,,,0.99264706,,,1.0342541,6.1964002,,,,,,,,,,,,,0.12,0.25,,9.0909091,,,,,
B9,,,,,,,,,,,,,,,,0.99264706,,,1.0342541,12.1964,,,,,,,,,,,,,0.12,0.25,,9.0909091,,,,,
B10,,,,,,,,,,,,,,,,0.99264706,,,,,,,,,,,,,,,,,0.12,,,9.0909091,,,,,
B11,,,,,,,,,,,,,,,,0.99264706,,,1.0342541,22.1964,,,,,,,,,,,,,0.12,0.25,,9.0909091,,,,,
B12,,,,,,,,,,,,,,,,0.99264706,,,1.0342541,7.1964002,,,,,,,,,,,,,0.12,0.25,,9.0909091,,,,,
B13,,,,,,,,,,,,,,,,0.99264706,,,,,,,,,,,,,,,,,0.12,,,9.0909091,,,,,
B14,,,,,,,,,,,,,,,,0.99264706,,,,,,,,,,,,,,,,,0.12,,,9.0909091,,,,,
C1,,,,,,,,,,,,,,,,0.99264706,,,,,,,,,,,,,,,,,0.12,,,9.0909091,,,,,
C2,,,,,,,,,,,,,,,,0.99264706,,,,,,,,,,,,,,,,,0.12,,,9.0909091,,,,,
C3,,,,,,,,,,,,,,,,0.99264706,,,,,,,,,,,,,,,,,0.12,,,9.0909091,,,,,
C4,,,,,,,,,,,,,,,,0.99264706,,,,,,,,,,,,,,,,,0.12,,,9.0909091,,,,,
C5,,,,,,,,,,,,,,,,0.99264706,,,,,,,,,,,,,,,,,0.12,,,9.0909091,,,,,
C6,,,,,,,,,,,,,,,,0.99264706,,,,,,,,,,,,,,,,,0.12,,,9.0909091,,,,,
D1,,,,,,,,,,,,,,,,0.99264706,,,,,,,,,,,,,,,,,0.12,,,9.0909091,,,,,
D2,,,,,,,,,,,,,,,,0.99264706,,,,,,,,,,,,,,,,,0.12,,,8.8873529,,,,,
D3,,,,,,,,,,,,,,,,0.99264706,,,,,,,,,,,,,,,,,0.12,,,9.0909091,,,,,
D4,,,,,,,,,,,,,,,,0.99264706,,,,,,,,,,,,,,,,,0.12,,,4.8873529,,,,,
D5,,,,,,,,,,,,,,,,0.99264706,,,,,,,,,,,,,,,,,0.12,,,8.8873529,,,,,
D6,,,,,,,,,,,,,,,,0.99264706,,,,,,,,,,,,,,,,,0.12,,,9.0909091,,,,,
D7,,,,,,,,,,,,,,,,0.99264706,,,,,,,,,,,,,,,,,0.12,,,9.0909091,,,,,
D8,,,,,,,,,,,,,,,,0.99264706,,,,,,,,,,,,,,,,,0.12,,,9.0909091,,,,,
E1,,,,,,,,,,,,,,,,0.48,,,,,,,,,,,,,,,,,0.12,,,,,,,,
E2,,,,,,,,,,,,,,,,0.48,,,,,,,,,,,,,,,,,0.12,,,,,,,,
E3,,,,,,,,,,,,,,,,0.48,,,,,,,,,,,,,,,,,0.12,,,,,,,,
E4,,,,,,,,,,,,,,,,0.48,,,,,,,,,,,,,,,,,0.12,,,,,,,,
E5,,,,,,,,,,,,,,,,0.48,,,,,,,,,,,,,,,,,0.12,,,,,,,,
E6,,,,,,,,,,,,,,,,0.48,,,,,,,,,,,,,,,,,0.12,,,,,,,,
E7,,,,,,,,,,,,,,,,0.48,,,,,,,,,,,,,,,,,0.12,,,,,,,,
E8,,,,,,,,,,,,,,,,0.48,,,,,,,,,,,,,,,,,0.12,,,,,,,,
E9,,,,,,,,,,,,,,,,0.48,,,,,,,,,,,,,,,,,0.12,,,,,,,,
E10,,,,,,,,,,,,,,,,0.48,,,,,,,,,,,,,,,,,0.12,,,,,,,,
E11,,,,,,,,,,,,,,,,0.48,,,,,,,,,,,,,,,,,0.12,,,,,,,,
