地块名,黄豆,黑豆,红豆,绿豆,爬豆,小麦,玉米,谷子,高粱,黍子,荞麦,南瓜,红薯,莜麦,大麦,水稻,豇豆,刀豆,芸豆,土豆,西红柿,茄子,菠菜 ,青椒,菜花,包菜,油麦菜,小青菜,黄瓜,生菜 ,辣椒,空心菜,黄心菜,芹菜,大白菜,白萝卜,红萝卜,榆黄菇,香菇,白灵菇,羊肚菌
A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,
A2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,,,,,,,,
A3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,,,,,,,,
A4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.0,,,,,,,,
A5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.0,,,,,,,,
A6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,,,,,,,,
B1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,,,,,,,,
B2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,,,,,,,,
B3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,,,,,,
B4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,,,,,,,,
B5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,
B6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.0,,,,,,,,
B7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,,,,,,,,
B8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0,,,,,,,,
B9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,
B10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,
B11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,,,,,,,,
B12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,,,,,,,,
B13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,,,,,,,,
B14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,
C1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,
C2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,
C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,
C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,,,,,,,
C5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,,,,,,,,
C6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,
D1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,
D2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,
D3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,
D4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,
D5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,
D6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,
D7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,,,,,,,,
D8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,
E1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,
E2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,
E3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,
E4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,
E5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,
E6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,
E7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,
E8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,
E9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,
E10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,
E11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,
E12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,
E13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,
E14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,
E15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,
E16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,
F1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,
F2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,
F3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,
F4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,
D1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
