地块名,黄豆,黑豆,红豆,绿豆,爬豆,小麦,玉米,谷子,高粱,黍子,荞麦,南瓜,红薯,莜麦,大麦,水稻,豇豆,刀豆,芸豆,土豆,西红柿,茄子,菠菜 ,青椒,菜花,包菜,油麦菜,小青菜,黄瓜,生菜 ,辣椒,空心菜,黄心菜,芹菜,大白菜,白萝卜,红萝卜,榆黄菇,香菇,白灵菇,羊肚菌
A1,,,,,,,,,,,,,,,,,26.666667,,,,,,,,,,,,80.0,,,,,,,,,,,,
A2,,,,,,,,,,,,,,,,,18.333333,,,,,,,,,,,,36.666667,,,,,,,,,,,,
A3,,,,,,,,,,,,,,,,,11.666667,,,,,,,,,,,,23.333333,,,,,,,,,,,,
A4,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,72.0,,,,,,,,,,,,
A5,,,,,,,,,,,,,,,,,22.666667,,,,,,,,,,,,45.333333,,,,,,,,,,,,
A6,,,,,,,,,,,,,,,,,18.333333,,,,,,,,,,,,55.0,,,,,,,,,,,,
B1,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,40.0,,,,,,,,,,,,
B2,,,,,,,,,,,,,,,,,15.333333,,,,,,,,,,,,46.0,,,,,,,,,,,,
B3,,,,,,,,,,,,,,,,,13.333333,,,,,,,,,,,,40.0,,,,,,,,,,,,
B4,,,,,,,,,,,,,,,,,9.3333333,,,,,,,,,,,,28.0,,,,,,,,,,,,
B5,,,,,,,,,,,,,,,,,8.3333333,,,,,,,,,,,,16.666667,,,,,,,,,,,,
B6,,,,,,,,,,,,,,,,,28.666667,,,,,,,,,,,,86.0,,,,,,,,,,,,
B7,,,,,,,,,,,,,,,,,18.333333,,,,,,,,,,,,36.666667,,,,,,,,,,,,
B8,,,,,,,,,,,,,,,,,14.666667,,,,,,,,,,,,44.0,,,,,,,,,,,,
B9,,,,,,,,,,,,,,,,,16.666667,,,,,,,,,,,,50.0,,,,,,,,,,,,
B10,,,,,,,,,,,,,,,,,8.3333333,,,,,,,,,,,,16.666667,,,,,,,,,,,,
B11,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,60.0,,,,,,,,,,,,
B12,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,30.0,,,,,,,,,,,,
B13,,,,,,,,,,,,,,,,,11.666667,,,,,,,,,,,,35.0,,,,,,,,,,,,
B14,,,,,,,,,,,,,,,,,6.6666667,,,,,,,,,,,,13.333333,,,,,,,,,,,,
C1,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,10.0,,,,,,,,,,,,
C2,,,,,,,,,,,,,,,,,4.3333333,,,,,,,,,,,,8.6666667,,,,,,,,,,,,
C3,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,15.0,,,,,,,,,,,,
C4,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,18.0,,,,,,,,,,,,
C5,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,27.0,,,,,,,,,,,,
C6,,,,,,,,,,,,,,,,,6.6666667,,,,,,,,,,,,13.333333,,,,,,,,,,,,
D1,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,10.0,,,,,,,,,,,,
D2,,,,,,,,,,,,,,,,,3.3333333,,,,,,,,,,,,6.6666667,,,,,,,,,,,,
D3,,,,,,,,,,,,,,,,,4.6666667,,,,,,,,,,,,14.0,,,,,,,,,,,,
D4,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,4.0,,,,,,,,,,,,
D5,,,,,,,,,,,,,,,,,3.3333333,,,,,,,,,,,,10.0,,,,,,,,,,,,
D6,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,12.0,,,,,,,,,,,,
D7,,,,,,,,,,,,,,,,,7.3333333,,,,,,,,,,,,14.666667,,,,,,,,,,,,
D8,,,,,,,,,,,,,,,,,6.6666667,,,,,,,,,,,,20.0,,,,,,,,,,,,
E1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,
E2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,
E3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,
E4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,
E5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,
E6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,
E7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,
E8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,
E9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,
E10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,
E11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,
E12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,
E13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,
E14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,
E15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,
E16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,
F1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,
F2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,
F3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,
F4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,
D1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
